date,value
20200102,13385.92969
20200103,13219.13965
20200106,13126.99023
20200107,13226.83008
20200108,13320.17969
20200109,13495.05957
20200110,13483.30957
20200113,13451.51953
20200114,13456.49023
20200115,13432.29981
20200116,13429.42969
20200117,13526.12988
20200120,13548.94043
20200121,13555.87012
20200122,13515.75
20200123,13388.41992
20200124,13576.67969
20200127,13204.76953
20200128,13323.69043
20200129,13345
20200130,13157.12012
20200131,12981.96973
20200203,13045.19043
20200204,13281.74023
20200205,13478.33008
20200206,13574.82031
20200207,13513.80957
20200210,13494.03027
20200211,13627.83984
20200212,13749.78027
20200213,13745.42969
20200214,13744.20996
20200217,13783.88965
20200218,13681.19043
20200219,13789
20200220,13664
20200221,13579.33008
20200224,13035.24023
20200225,12790.49023
20200226,12774.87988
20200227,12367.45996
20200228,11890.34961
20200302,11857.87012
20200303,11985.38965
20200304,12127.69043
20200305,11944.71973
20200306,11541.87012
20200309,10625.01953
20200310,10475.49023
20200311,10438.67969
20200312,9161.129883
20200313,9232.080078
20200316,8742.25
20200317,8939.099609
20200318,8441.709961
20200319,8610.429688
20200320,8928.950195
20200323,8741.150391
20200324,9700.570313
20200325,9874.259766
20200326,10000.95996
20200327,9632.519531
20200330,9815.969727
20200331,9935.839844
20200401,9544.75
20200402,9570.820313
20200403,9525.769531
20200406,10075.16992
20200407,10356.7002
20200408,10332.88965
20200409,10564.74023
20200414,10696.55957
20200415,10279.75977
20200416,10301.54004
20200417,10625.78027
20200420,10675.90039
20200421,10249.84961
20200422,10415.03027
20200423,10513.79004
20200424,10336.08984
20200427,10659.99023
20200428,10795.62988
20200429,11107.74023
20200430,10861.63965
20200504,10466.79981
20200505,10729.45996
20200506,10606.2002
20200507,10759.26953
20200508,10904.48047
20200511,10824.99023
20200512,10819.5
20200513,10542.66016
20200514,10337.01953
20200515,10465.16992
20200518,11058.87012
20200519,11075.29004
20200520,11223.70996
20200521,11065.92969
20200522,11073.87012
20200525,11391.28027
20200526,11504.65039
20200527,11657.69043
20200528,11781.12988
20200529,11586.84961
20200602,12021.28027
20200603,12487.36035
20200604,12430.55957
20200605,12847.67969
20200608,12819.58984
20200609,12617.99023
20200610,12530.16016
20200611,11970.29004
20200612,11949.28027
20200615,11911.34961
20200616,12315.66016
20200617,12382.13965
20200618,12281.53027
20200619,12330.75977
20200622,12262.96973
20200623,12523.75977
20200624,12093.94043
20200625,12177.87012
20200626,12089.38965
20200629,12232.12012
20200630,12310.92969
20200701,12260.57031
20200702,12608.45996
20200703,12528.17969
20200706,12733.4502
20200707,12616.79981
20200708,12494.80957
20200709,12489.45996
20200710,12633.70996
20200713,12799.96973
20200714,12697.36035
20200715,12930.98047
20200716,12874.96973
20200717,12919.61035
20200720,13046.91992
20200721,13171.83008
20200722,13104.25
20200723,13103.38965
20200724,12838.05957
20200727,12838.66016
20200728,12835.28027
20200729,12822.25977
20200730,12379.65039
